PLAYER,TEAM,Conf,AS Prob,Model Prediction
Giannis Antetokounmpo,MIL,East,0.9966474175453186,Yes
LeBron James,LAL,West,0.9962748289108276,Yes
Anthony Davis,LAL,West,0.9926257729530334,Yes
James Harden,HOU,West,0.9902002215385437,Yes
Kawhi Leonard,LAC,West,0.9871654510498047,Yes
Russell Westbrook,HOU,West,0.986435055732727,Yes
Luka Doncic,DAL,West,0.9857757687568665,Yes
Damian Lillard,POR,West,0.9781671762466431,Yes
Jimmy Butler,MIA,East,0.9766532778739929,Yes
Khris Middleton,MIL,East,0.9709484577178955,Yes
Rudy Gobert,UTA,West,0.9703583121299744,Yes
Donovan Mitchell,UTA,West,0.9686350226402283,Yes
Pascal Siakam,TOR,East,0.9650043249130249,Yes
Kemba Walker,BOS,East,0.9589765667915344,Yes
Bradley Beal,WAS,East,0.9538795948028564,Yes
Jayson Tatum,BOS,East,0.9498799443244934,Yes
Devin Booker,PHX,West,0.945273756980896,Yes
Bam Adebayo,MIA,East,0.9427313208580017,Yes
Joel Embiid,PHI,East,0.941250205039978,Yes
Nikola Jokic,DEN,West,0.917675256729126,Yes
Kyle Lowry,TOR,East,0.8938024640083313,Yes
Ben Simmons,PHI,East,0.8737912178039551,Yes
Domantas Sabonis,IND,East,0.8548105359077454,Yes
Brandon Ingram,NOP,West,0.8543151021003723,Yes
Zach LaVine,CHI,East,0.8482639789581299,No
Paul George,LAC,West,0.8209969997406006,No
DeMar DeRozan,SAS,West,0.8073140382766724,No
Lou Williams,LAC,West,0.7996335029602051,No
Jaylen Brown,BOS,East,0.7908327579498291,No
Trae Young,ATL,East,0.7873117923736572,No
Montrezl Harrell,LAC,West,0.7858670949935913,No
Fred VanVleet,TOR,East,0.7761836647987366,No
Spencer Dinwiddie,BKN,East,0.7544114589691162,No
Jamal Murray,DEN,West,0.7350448369979858,No
Eric Bledsoe,MIL,East,0.6967769861221313,No
Nikola Vucevic,ORL,East,0.6883403062820435,No
Karl-Anthony Towns,MIN,West,0.6834660768508911,No
Tobias Harris,PHI,East,0.6558030843734741,No
Kyrie Irving,BKN,East,0.6262927651405334,No
D'Angelo Russell,MIN,West,0.5775978565216064,No
Shai Gilgeous-Alexander,OKC,West,0.5219851136207581,No
Andre Drummond,CLE,East,0.4643649160861969,No
Hassan Whiteside,POR,West,0.456357479095459,No
LaMarcus Aldridge,SAS,West,0.4339141845703125,No
Dennis Schroder,OKC,West,0.3863033652305603,No
Chris Paul,OKC,West,0.37845274806022644,No
Ja Morant,MEM,West,0.3751963973045349,No
Derrick Rose,DET,East,0.3493795096874237,No
Malcolm Brogdon,IND,East,0.33516767621040344,No
Al Horford,PHI,East,0.33407801389694214,No
Jrue Holiday,NOP,West,0.3075859546661377,No
Will Barton,DEN,West,0.30162912607192993,No
Bojan Bogdanovic,UTA,West,0.23931163549423218,No
Serge Ibaka,TOR,East,0.2323417067527771,No
Marcus Morris Sr.,LAC,West,0.21737340092658997,No
Clint Capela,ATL,East,0.21714067459106445,No
Deandre Ayton,PHX,West,0.20304273068904877,No
Jonas Valanciunas,MEM,West,0.19098496437072754,No
Danilo Gallinari,OKC,West,0.18836863338947296,No
Julius Randle,NYK,East,0.17632906138896942,No
Norman Powell,TOR,East,0.14378641545772552,No
Kevin Love,CLE,East,0.14243580400943756,No
CJ McCollum,POR,West,0.13027207553386688,No
Gordon Hayward,BOS,East,0.12119882553815842,No
Andrew Wiggins,GSW,West,0.11206858605146408,No
Ricky Rubio,PHX,West,0.11026828736066818,No
Alec Burks,PHI,East,0.10982547700405121,No
Richaun Holmes,SAC,West,0.10875166207551956,No
Brook Lopez,MIL,East,0.10436069965362549,No
Goran Dragic,MIA,East,0.09572868049144745,No
Kristaps Porzingis,DAL,West,0.09302078932523727,No
Jarrett Allen,BKN,East,0.09083356708288193,No
Brandon Clarke,MEM,West,0.0731758326292038,No
De'Aaron Fox,SAC,West,0.06329762190580368,No
Devonte' Graham,CHA,East,0.060376718640327454,No
Dwight Howard,LAL,West,0.053854528814554214,No
Steven Adams,OKC,West,0.050321850925683975,No
Ersan Ilyasova,MIL,East,0.03814651444554329,No
John Collins,ATL,East,0.037540555000305176,No
Kyle Kuzma,LAL,West,0.03417030721902847,No
Enes Kanter,BOS,East,0.03356199339032173,No
JaVale McGee,LAL,West,0.03269417956471443,No
DeAndre Jordan,BKN,East,0.03236356005072594,No
Jordan Clarkson,UTA,West,0.03207745403051376,No
Kendrick Nunn,MIA,East,0.0312771312892437,No
Evan Fournier,ORL,East,0.030894124880433083,No
Nerlens Noel,OKC,West,0.030677977949380875,No
Wendell Carter Jr.,CHI,East,0.03062320128083229,No
Mason Plumlee,DEN,West,0.028052762150764465,No
Paul Millsap,DEN,West,0.025997726246714592,No
Tyler Herro,MIA,East,0.025754587724804878,No
George Hill,MIL,East,0.023440947756171227,No
Josh Richardson,PHI,East,0.022974468767642975,No
Delon Wright,DAL,West,0.02229701541364193,No
T.J. Warren,IND,East,0.02037247084081173,No
Marcus Smart,BOS,East,0.018132401630282402,No
Kelly Oubre Jr.,PHX,West,0.01677444390952587,No
Duncan Robinson,MIA,East,0.016646506264805794,No
Ivica Zubac,LAC,West,0.01576506905257702,No
Myles Turner,IND,East,0.015241619199514389,No
Terence Davis,TOR,East,0.015240403823554516,No
Jaren Jackson Jr.,MEM,West,0.015022478997707367,No
Gorgui Dieng,MEM,West,0.013572551310062408,No
Donte DiVincenzo,MIL,East,0.012150713242590427,No
Jonathan Isaac,ORL,East,0.011180208064615726,No
Willie Cauley-Stein,DAL,West,0.010736094787716866,No
Rondae Hollis-Jefferson,TOR,East,0.010644904337823391,No
