PLAYER,TEAM,Conf,AS Prob,Model Prediction
Giannis Antetokounmpo,MIL,East,0.9966474175453186,Yes
Jimmy Butler,MIA,East,0.9766532778739929,Yes
Khris Middleton,MIL,East,0.9709484577178955,Yes
Pascal Siakam,TOR,East,0.9650043249130249,Yes
Kemba Walker,BOS,East,0.9589765667915344,Yes
Bradley Beal,WAS,East,0.9538795948028564,Yes
Jayson Tatum,BOS,East,0.9498799443244934,Yes
Bam Adebayo,MIA,East,0.9427313208580017,Yes
Joel Embiid,PHI,East,0.941250205039978,Yes
Kyle Lowry,TOR,East,0.8938024640083313,Yes
Ben Simmons,PHI,East,0.8737912178039551,Yes
Domantas Sabonis,IND,East,0.8548105359077454,Yes
Zach LaVine,CHI,East,0.8482639789581299,No
Jaylen Brown,BOS,East,0.7908327579498291,No
Trae Young,ATL,East,0.7873117923736572,No
Fred VanVleet,TOR,East,0.7761836647987366,No
Spencer Dinwiddie,BKN,East,0.7544114589691162,No
Eric Bledsoe,MIL,East,0.6967769861221313,No
Nikola Vucevic,ORL,East,0.6883403062820435,No
Tobias Harris,PHI,East,0.6558030843734741,No
Kyrie Irving,BKN,East,0.6262927651405334,No
Andre Drummond,CLE,East,0.4643649160861969,No
Derrick Rose,DET,East,0.3493795096874237,No
Malcolm Brogdon,IND,East,0.33516767621040344,No
Al Horford,PHI,East,0.33407801389694214,No
LeBron James,LAL,West,0.9962748289108276,Yes
Anthony Davis,LAL,West,0.9926257729530334,Yes
James Harden,HOU,West,0.9902002215385437,Yes
Kawhi Leonard,LAC,West,0.9871654510498047,Yes
Russell Westbrook,HOU,West,0.986435055732727,Yes
Luka Doncic,DAL,West,0.9857757687568665,Yes
Damian Lillard,POR,West,0.9781671762466431,Yes
Rudy Gobert,UTA,West,0.9703583121299744,Yes
Donovan Mitchell,UTA,West,0.9686350226402283,Yes
Devin Booker,PHX,West,0.945273756980896,Yes
Nikola Jokic,DEN,West,0.917675256729126,Yes
Brandon Ingram,NOP,West,0.8543151021003723,Yes
Paul George,LAC,West,0.8209969997406006,No
DeMar DeRozan,SAS,West,0.8073140382766724,No
Lou Williams,LAC,West,0.7996335029602051,No
Montrezl Harrell,LAC,West,0.7858670949935913,No
Jamal Murray,DEN,West,0.7350448369979858,No
Karl-Anthony Towns,MIN,West,0.6834660768508911,No
D'Angelo Russell,MIN,West,0.5775978565216064,No
Shai Gilgeous-Alexander,OKC,West,0.5219851136207581,No
Hassan Whiteside,POR,West,0.456357479095459,No
LaMarcus Aldridge,SAS,West,0.4339141845703125,No
Dennis Schroder,OKC,West,0.3863033652305603,No
Chris Paul,OKC,West,0.37845274806022644,No
Ja Morant,MEM,West,0.3751963973045349,No
